"Participant","Choice","Stress","Relax","Baseline","MostChoice","State","MajorityState","profile","StressPerc","RelaxPerc","TotalPings","P_TotalStress","P_TotalRelax","P_TotalBase","P_TotalPings","TotalStressPerc","TotalRelaxPerc","Trial","valence.png","arousal.png","control.png","NaturalInt","NaturalStoryDec","InterrogatorFeel","UnderstandAsCharacter","ImagineInSitu","InHead","ConsequenceCare","Absorbed","ReallyInside","FullAttention","immersionsums","identificationsums","systemsums","StressNorm","non_baseline_percentage"
14,"Honest",44,1,111,"Honest","Stressed","Stressed","HonestStressed",28.2051282051282,0.641025641025641,156,97,1,221,319,30.4075235109718,0.313479623824451,4,7,3,5,5,6,5,7,4,4,6,6,3,5,14,21,16,-0.38871473354232,30.7210031347962
15,"Defensive",0,0,9,"Mixed","Relaxed","Relaxed","MixedRelaxed",0,0,9,15,12,256,283,5.30035335689046,4.24028268551237,1,8,4,3,2,6,3,4,5,6,5,6,6,7,19,20,11,-0.851590106007067,9.54063604240283
15,"Honest",0,0,38,"Mixed","Relaxed","Relaxed","MixedRelaxed",0,0,38,15,12,256,283,5.30035335689046,4.24028268551237,2,8,4,3,2,6,3,4,5,6,5,6,6,7,19,20,11,-0.851590106007067,9.54063604240283
15,"Defensive",6,6,91,"Mixed","Relaxed","Relaxed","MixedRelaxed",5.8252427184466,5.8252427184466,103,15,12,256,283,5.30035335689046,4.24028268551237,3,8,4,3,2,6,3,4,5,6,5,6,6,7,19,20,11,-0.851590106007067,9.54063604240283
15,"Honest",9,6,118,"Mixed","Stressed","Relaxed","MixedRelaxed",6.76691729323308,4.51127819548872,133,15,12,256,283,5.30035335689046,4.24028268551237,4,8,4,3,2,6,3,4,5,6,5,6,6,7,19,20,11,-0.851590106007067,9.54063604240283
16,"Defensive",0,0,9,"Defensive","Relaxed","Stressed","DefensiveStressed",0,0,9,47,17,229,293,16.0409556313993,5.80204778156997,1,7,1,3,4,3,2,3,5,4,4,4,4,5,13,16,9,-0.621160409556314,21.8430034129693
16,"Defensive",2,0,36,"Defensive","Stressed","Stressed","DefensiveStressed",5.26315789473684,0,38,47,17,229,293,16.0409556313993,5.80204778156997,2,7,1,3,4,3,2,3,5,4,4,4,4,5,13,16,9,-0.621160409556314,21.8430034129693
16,"Defensive",21,7,79,"Defensive","Stressed","Stressed","DefensiveStressed",19.6261682242991,6.54205607476635,107,47,17,229,293,16.0409556313993,5.80204778156997,3,7,1,3,4,3,2,3,5,4,4,4,4,5,13,16,9,-0.621160409556314,21.8430034129693
16,"Defensive",24,10,105,"Defensive","Stressed","Stressed","DefensiveStressed",17.2661870503597,7.19424460431655,139,47,17,229,293,16.0409556313993,5.80204778156997,4,7,1,3,4,3,2,3,5,4,4,4,4,5,13,16,9,-0.621160409556314,21.8430034129693
17,"Defensive",0,0,8,"Mixed","Relaxed","Relaxed","MixedRelaxed",0,0,8,0,4,285,289,0,1.3840830449827,1,8,2,6,5,5,6,7,7,7,5,6,5,5,16,26,16,-0.986159169550173,1.3840830449827
17,"Defensive",0,0,38,"Mixed","Relaxed","Relaxed","MixedRelaxed",0,0,38,0,4,285,289,0,1.3840830449827,2,8,2,6,5,5,6,7,7,7,5,6,5,5,16,26,16,-0.986159169550173,1.3840830449827
